old	new	status
AMAHMAEGLNN	GetCurrencyCount	applied_or_already_applied
AMAKLIMHEPE	AtlasesNames	applied_or_already_applied
AMCNEDEIMLG	AddTable	applied_or_already_applied
AMFMMNEOJCM	TransformExtensions	applied_or_already_applied
AMICCPKLFIG	element_type	applied_or_already_applied
AMKACGAJAFI	AssignAnchors	applied_or_already_applied
AMKFIJMKLIB	_type	applied_or_already_applied
AMKPAGCFMIN	Base	applied_or_already_applied
AMLHBKFFKAB	LoadFrom	applied_or_already_applied
AMNBONNKJEA	CompareKeys	applied_or_already_applied
AMNIBFPABBB	SetHasRandomSeed	applied_or_already_applied
ANCPKKDDBCL	BadCompressionThreshold	applied_or_already_applied
ANEIELJAOBJ	SetInverseLocationScale	applied_or_already_applied
ANFHBBCCHIF	IsGivenTemplateAnimation	applied_or_already_applied
ANGDLLEJBJK	_previousByte	applied_or_already_applied
ANHKAMGCLKF	get_RandomizingEnemyAnimation	applied_or_already_applied
ANMJAHPFFFP	_isRoundOver	applied_or_already_applied
ANNMBLGDHHI	CreateRingout	applied_or_already_applied
AOCGGCIFGDG	GetResources	applied_or_already_applied
AODAMALKDIK	set_LastStrikePhase	applied_or_already_applied
AOFIIOIHNKO	_count	applied_or_already_applied
AOGMLIAMDPC	m_NumPosStates	applied_or_already_applied
AOIHFGABCMP	DialogsOpener	applied_or_already_applied
AOKEIJNAJIE	ParseTactics	applied_or_already_applied
AOKKKJHOBNH	charControllerVelocity	applied_or_already_applied
AOKNKKOMCHI	maxRounds	applied_or_already_applied
AOOCELLOHPH	m_CallBack	applied_or_already_applied
AOPBOEEJJLH	isActive	applied_or_already_applied
APAMDMLALHP	count	applied_or_already_applied
APCLIPABMGJ	SendOnNextFrame	applied_or_already_applied
APDAGDIEAGN	EncryptDecrypt	applied_or_already_applied
APELCDGCONG	set_TypeOverride	applied_or_already_applied
APFAGGLOOAA	ConditionName	applied_or_already_applied
APIJDNECMOB	TacticValue	applied_or_already_applied
APKJCACPIKN	set_State	applied_or_already_applied
APLBGNOEGDD	Equal	applied_or_already_applied
APMCMDOBFOI	writer	applied_or_already_applied
APNFKMBPMPO	SetImpulseFactor	applied_or_already_applied
APNOPBAPDNF	IsProbality	applied_or_already_applied
APOHOKNGKNF	get_Tactic	applied_or_already_applied
BADBAHHKCFG	_numOfDisplayModes	applied_or_already_applied
BADEBJKJACN	set_LastEventId	applied_or_already_applied
BAGCMLBIIEG	GetOverrideByScreen	applied_or_already_applied
BAHLKHDDJCH	ThreadFunc	applied_or_already_applied
BAINMLLIKOL	value	applied_or_already_applied
BAJFFPFFNAB	lastPing	applied_or_already_applied
BALJIPGJEIL	GetSpriteFromAtlas	applied_or_already_applied
BALKLAKLCFL	set_IsRunning	applied_or_already_applied
BALMDCHGLAL	SyncRoot	applied_or_already_applied
BALPCPCBIKD	WriteToStream	applied_or_already_applied
BANJDLGFBFF	collection	applied_or_already_applied
BANKJEJIALA	GetKeyDataBySign	applied_or_already_applied
BANMHPNCOAH	_BundleId	applied_or_already_applied
BAONKHMFJAM	Triangles	applied_or_already_applied
BBAKODPKEPI	QuestActionActivate	applied_or_already_applied
BBBJLIGJIJN	Unwrap	applied_or_already_applied
BBDBDPBFFAP	_contentData	applied_or_already_applied
BBJFMGKLPPO	remove_ValueAvailable	applied_or_already_applied
