old	new	status
DFPCKEBJKCC	StartAnimationEnemy	applied_or_already_applied
DGAPFNLPOAN	ScrollWidth	applied_or_already_applied
DGBFIFPHOCN	set_CookieJarSize	applied_or_already_applied
DGEKMACBIEA	ClearAttackingEdges	applied_or_already_applied
DGILPMANFAF	Size	applied_or_already_applied
DGJOLLPMFOO	QuestActionBuyItem	applied_or_already_applied
DGJPKMMPFOL	GetAngle2DDegreeSigned	applied_or_already_applied
DGLEBOILLDO	OnAuthenticate	applied_or_already_applied
DGOEGOAKGJK	GetFrameError	applied_or_already_applied
DGOFIJOHAEA	styleBarStrips	applied_or_already_applied
DHDGHOODBJI	cachedBundle	applied_or_already_applied
DHGHIFLFDAO	Parse	applied_or_already_applied
DHIFNDDKMKE	MinBufferSize	applied_or_already_applied
DHIHAFJPBFI	_StopFollowFrame	applied_or_already_applied
DHJLAFOPGHD	_logo	applied_or_already_applied
DHKCCIEJNIK	GetDefaultItem	applied_or_already_applied
DHMBCGDKAIL	set_RequestCounter	applied_or_already_applied
DHPAFKCOIHB	indents	applied_or_already_applied
DIAODIFNGLI	PlayerType	applied_or_already_applied
DIDJJNKIKHC	CallOnError	applied_or_already_applied
DIDKIJMPGHL	FileLocks	applied_or_already_applied
DIHJBEFNMBI	GetExpectedWait	applied_or_already_applied
DIMPPLJNNAB	_CachedAtlases	applied_or_already_applied
DINCNFEMCHJ	OpenPauseScreen	applied_or_already_applied
DIOIAGLMPCB	send_bits	applied_or_already_applied
DJBJOICDAED	GetModelDirection	applied_or_already_applied
DJCLDHKIBAA	ResetSingle	applied_or_already_applied
DJCNLBDICFP	_size	applied_or_already_applied
DJHLOCJHIBL	set_IgnoreCase	applied_or_already_applied
DJIODEPANKC	QuestActionShowRaidTutorial	applied_or_already_applied
DJNKGAIGKLN	AnalyzeVersionDirective	applied_or_already_applied
DJNLHKDBFIN	_CheckStarted	applied_or_already_applied
DJPHEHNEHGE	set_MaxFragmentSize	applied_or_already_applied
DJPJCENPDMA	OnCheatClicked	applied_or_already_applied
DKFCDCMHMPL	headerBytes	applied_or_already_applied
DKGBFEAFFGB	SCORE_TABLE_Y	applied_or_already_applied
DKGHPJPFGOE	Textures	applied_or_already_applied
DKHEFOHBGHM	DecryptFloatValue	applied_or_already_applied
DKHOIJJNGOO	ClearGaps	applied_or_already_applied
DKKIBMFIPLI	_BodyPart	applied_or_already_applied
DKKMOJDBEMJ	IsCreated	applied_or_already_applied
DKMGNOKJFIH	InsertString	applied_or_already_applied
DKMJJBKICMH	Json	applied_or_already_applied
DKMKJJGAHMA	QuestActionMenuBtnFlashing	applied_or_already_applied
DLBFECOGCHG	get_NoDecisionMoves	applied_or_already_applied
DLBNJHODOML	waitForEndOfFrame	applied_or_already_applied
DLDKIJMGEHN	_currentIndex	applied_or_already_applied
DLEONBGHPAP	set_color	applied_or_already_applied
DLKNBBOIPNI	IsCloned	applied_or_already_applied
DLLEMBNMDCH	GetValue	applied_or_already_applied
DLMDACPHMBO	set_DeliveryTime	applied_or_already_applied
DLMIJOHLNAB	_comboRules	applied_or_already_applied
DLMNIJIABEP	inst_object	applied_or_already_applied
DLNLGGHDDJL	QuestActionShowStarterPackTimer	applied_or_already_applied
DMAEGELGBLK	_buttons	applied_or_already_applied
DMAMMOCMINH	GetDefenseAttribute	applied_or_already_applied
DMBADJOKGFC	IsIncludeIntervalAttack	applied_or_already_applied
DMBFNKKBNIL	SessionSettings	applied_or_already_applied
DMCHCGJDLHA	_unityLogCallback	applied_or_already_applied
DMCNGIDOGEA	GetDodgeMagicChance	applied_or_already_applied
DMHPAGBDIMB	vbReadStateResult	applied_or_already_applied
DMJPOBCEIBM	MIN_COMBO	applied_or_already_applied
DMMGOLOAIEE	_Points	applied_or_already_applied
DMONIPNJEGB	enemiesModels	applied_or_already_applied
DMPBHHGACBP	PerkActionChangeAdditionalDamageValue	applied_or_already_applied
DNCPKEEINJE	GetASCIIBytes	applied_or_already_applied
DNEFNINBKKF	News	applied_or_already_applied
DNEHIHKLONJ	UpgradeNumber	applied_or_already_applied
DNKHKMDDAOC	GetEnemyItemRules	applied_or_already_applied
DNKPANHNKAA	ApplyNoPerksRules	applied_or_already_applied
DNOGJOFCDBI	SetInt	applied_or_already_applied
DOAGFAAHFGB	_BlockOn	applied_or_already_applied
DOALFKPCOKA	set_RandomizationFactor	applied_or_already_applied
DOBLLKDPIEH	BaseURL	applied_or_already_applied
DOCOLJCJCON	SetVolume	applied_or_already_applied
DODNBPJKLGF	set_NotificationReadTime	applied_or_already_applied
DOEFGJCNLEK	ParseInterval	applied_or_already_applied
DOFHAGCDDGK	Visit	applied_or_already_applied
DOJMJEGFAGN	gridSize	applied_or_already_applied
DOLLOEEIIFF	Assemble	applied_or_already_applied
DOOKLEAOMJL	GetType	applied_or_already_applied
DOPKIGOFIGE	set_Reward	applied_or_already_applied
DOPOHGPJIMK	locker	applied_or_already_applied
DPDBMPPKMCL	_crc32	applied_or_already_applied
DPDIPEMCICG	typing	applied_or_already_applied
DPFFGDMBLKB	QuestActionFight	applied_or_already_applied
DPIHPENAMJJ	get_AttackMoves	applied_or_already_applied
DPJAKGMIOPP	wfMaterial	applied_or_already_applied
DPOHKPAKPPM	GameOverTypes	applied_or_already_applied
EABOCDHDHCF	Levels	applied_or_already_applied
EACLCENGNCH	set_PerFrameValue	applied_or_already_applied
EAGLOBHIHJE	GetLoadText	applied_or_already_applied
EAHBFJEABPK	_OutputList	applied_or_already_applied
EAHOMGCANLF	QuestActionEclipseModeReplayTutorial	applied_or_already_applied
EAKHHMDEBEL	IsTacticPlayableAnimations	applied_or_already_applied
EBAMCFEJION	GetRow	applied_or_already_applied
EBDBLMLJCKH	Save	applied_or_already_applied
EBDHAKBPBMP	SetPosition	applied_or_already_applied
EBEMCGEPHEP	_animationUp	applied_or_already_applied
EBHEOFLGKKL	EndRound	applied_or_already_applied
EBJDNFIJPIE	GetColor	applied_or_already_applied
EBKOLGMHGCG	ResetRules	applied_or_already_applied
EBMCDFNBDLN	string_buffer	applied_or_already_applied
EBMCKFOLNOH	_reward	applied_or_already_applied
EBMPEMKCDGP	Priority	applied_or_already_applied
EBOFFNMENKF	GetThreshold	applied_or_already_applied
ECCMJJPNPMB	CheckDifficult	applied_or_already_applied
ECDHNOFBMDP	GetRuleItemName	applied_or_already_applied
ECEGPDAJEKC	RenderFight	applied_or_already_applied
ECHINOPKGGI	FightCID	applied_or_already_applied
ECIHIJMBEHG	get_MissilesLastIteration	applied_or_already_applied
ECJAILAJFDG	GetMethod	applied_or_already_applied
ECJBLKDKBKA	LongLength	applied_or_already_applied
ECLAEMJEABE	NoHealthBarRule	applied_or_already_applied
ECPMEIMDIOF	PerkConditionComparison	applied_or_already_applied
EDAJOJMCFAM	set_Encoding	applied_or_already_applied
EDEKKCMHGEN	_limit	applied_or_already_applied
EDEKKPIPDGA	set_ChanelID	applied_or_already_applied
EDELGNIFBDK	_CounterRollTime	applied_or_already_applied
EDFFFBJMGDG	InitConfig	applied_or_already_applied
EDGKOKPMPED	DrawChat	applied_or_already_applied
EDIEBLDEIJB	set_MasterVolume	applied_or_already_applied
EDMIAEKHJNG	CallKeyPressed	applied_or_already_applied
EEAPHPAPHHB	AddCurrencyCount	applied_or_already_applied
EEDPMHFAEOF	RefillPerksFromRules	applied_or_already_applied
EEEBABDLBJB	QuestActionSendStrangerStats	applied_or_already_applied
EEEPLAMEIHG	Empty	applied_or_already_applied
EEIOPMNDDJM	_dialog	applied_or_already_applied
EEJNOAKLOLG	Tactic	applied_or_already_applied
EELBHKMHLME	_source	applied_or_already_applied
EFEKDOKLDBL	_startSize	applied_or_already_applied
EFGCBFIEOKH	PerkEventEveryFrame	applied_or_already_applied
EFIMNMBMCIJ	ModHealthChange	applied_or_already_applied
EFLMINIHPMK	ReceiverThread	applied_or_already_applied
EFMPHACAMBE	PerkConditionModExists	applied_or_already_applied
EFMPOCMGFBA	RandomizeBehavior	applied_or_already_applied
EFNLABLGDKC	ApplicationLogSubsctiption	applied_or_already_applied
EFNOIBPOCJC	Clone	applied_or_already_applied
EFOOJHKIGEH	PlayInfo	applied_or_already_applied
EFPBFGGIIBB	UpdatePointsTable	applied_or_already_applied
EGBFNDCHHIL	_sprites	applied_or_already_applied
EGBINOBNOOP	GetFromTablesAttack	applied_or_already_applied
EGIHCIAMJKM	AnimationData	applied_or_already_applied
EGLMKGGDJAP	SetAttributes	applied_or_already_applied
EGMJKOEJEHI	set_Sid	applied_or_already_applied
EGONKDDHONN	_animationFinishButton	applied_or_already_applied
EHBCDCMJEBI	ReadRaw	applied_or_already_applied
EHCAHGPPEJI	_DistanceNode	applied_or_already_applied
EHHOKIBBFLL	DotProduct	applied_or_already_applied
EHLMGKHFHHN	_sources	applied_or_already_applied
EIBKEEBGHIO	TestWall	applied_or_already_applied
EICHJANAIJB	LastUpdate	applied_or_already_applied
EIDAIFDGEAA	SkipWhiteSpace	applied_or_already_applied
EIEKAGBCBDB	set_PowerRequired	applied_or_already_applied
EIIPBBGNNFF	SetFactors	applied_or_already_applied
EINGOEBBPCM	Range	applied_or_already_applied
EJFGOOHFHHB	CurrentRound	applied_or_already_applied
EJFMMGCKNAD	SetParent	applied_or_already_applied
EJHEFEILBEB	_itemReward	applied_or_already_applied
EJHIMACIMAM	SendImpl	applied_or_already_applied
EJLCEJEMCPN	StopAllRules	applied_or_already_applied
EJLIGDCHMOL	progress	applied_or_already_applied
EJNFBCFJFCM	DeleteAnimation	applied_or_already_applied
EKFANNHAOHP	Close	applied_or_already_applied
EKGDBDLPFJO	SetTime	applied_or_already_applied
EKIEKIGHMDM	Camera	applied_or_already_applied
EKJMGFKJJMI	LoadShiftTablesfor	applied_or_already_applied
EKLMKEHPJPM	IsNames	applied_or_already_applied
EKMDDGPJDPD	set_Stale	applied_or_already_applied
EKOPHBOBMDO	get_MovesFirstIteration	applied_or_already_applied
EKPEIGPNGHM	get_IgnoredEnemyAnimations	applied_or_already_applied
ELAHMDNAMOI	inst_int	applied_or_already_applied
ELBDODHOGII	CheckExceptionWeapons	applied_or_already_applied
ELFFAECKNBK	UpdateAltImage	applied_or_already_applied
ELGNDOJMOBH	EventHit	applied_or_already_applied
ELICCPOKFNF	RemoveDuplicateSubtypes	applied_or_already_applied
ELKGJAOHJGM	StoryTutorialStepCode	applied_or_already_applied
ELOMKFDPBJK	Get	applied_or_already_applied
ELPJPCOOFCE	set_StartPingThread	applied_or_already_applied
EMAJJNJGMBN	_endFightContent	applied_or_already_applied
EMBJAOAIMNI	GetText	applied_or_already_applied
EMDHECIHGJL	m_AsyncCallback	applied_or_already_applied
EMDOHDLOIOH	_styleName	applied_or_already_applied
EMHGHCGIHNP	ReadTemplatesName	applied_or_already_applied
EMJGOCEMNBD	ParseArray	applied_or_already_applied
EMKLLACOKLB	SetRandomAnimation	applied_or_already_applied
EMNGKAKFMAB	_bufferBase	applied_or_already_applied
EMNNFABBAKH	Prob	applied_or_already_applied
ENBJNBDOLPK	QuestActionShowVideo	applied_or_already_applied
ENDBEPNPECP	Stream	applied_or_already_applied
ENDLGMLPLLH	ClearActions	applied_or_already_applied
ENEKOGKHHOL	set_IsPostAchievements	applied_or_already_applied
ENGPKOMPHMI	GetFromTablesMove	applied_or_already_applied
ENIBLLAOBNG	set_NonceCount	applied_or_already_applied
ENIGDEHCNMG	ParseTypeBattle	applied_or_already_applied
ENKGAHJKICL	DelayedAnimation	applied_or_already_applied
ENLMGKKFCNN	_framesToEnd	applied_or_already_applied
ENNGGFAPKMB	set_Trigger	applied_or_already_applied
ENNMKJFLKAA	SetString	applied_or_already_applied
ENPLKJMLLIH	QuestActionDialogLottery	applied_or_already_applied
EOANBHCDGHM	GetTemplateNode	applied_or_already_applied
EOAOLCKBHBK	tween	applied_or_already_applied
EOBOKNGBBGF	RaiseOnError	applied_or_already_applied
EOFAJPPKJAL	_Sprite	applied_or_already_applied
EOHBLIIFCGD	kMatchFinderIDs	applied_or_already_applied
EOIEONEBBCA	bundle	applied_or_already_applied
EOIMIPMFENG	removeNodes	applied_or_already_applied
EOIPNDJDMEC	_CapsuleRender	applied_or_already_applied
EOJNMGKJIEP	LOCKER	applied_or_already_applied
EOKOPNFJDHF	ApplyButtonRule	applied_or_already_applied
EOLCLABJCPP	_file	applied_or_already_applied
EOONKPMBNBE	EdgeType	applied_or_already_applied
EOPEJHGGMFL	CheckIntervals	applied_or_already_applied
EPCHNCMJIED	Loadfor	applied_or_already_applied
EPFPLLIAABJ	SetStream	applied_or_already_applied
EPIEIEMLFPJ	GetLoadTextInternal	applied_or_already_applied
EPKGPEGLEDI	SetInFightRules	applied_or_already_applied
EPMPEDOPLAC	RemoveExept	applied_or_already_applied
EPNPAJBLJCE	stageType	applied_or_already_applied
EPOECLDFBOF	GetSequence	applied_or_already_applied
FAALOOIALNF	GetPlayableAnimations	applied_or_already_applied
FABOFPLBKLP	FinishRound	applied_or_already_applied
FADHDBNEDHM	ActionType	applied_or_already_applied
FADNAHMBLCM	bitBuffer	applied_or_already_applied
FAEGMHFMICK	_timeout	applied_or_already_applied
FAGAPAFHBIH	GetBodyStream	applied_or_already_applied
FAGFPONAFOE	CachedScenes	applied_or_already_applied
FAHFOPJPBKL	set_Modificator	applied_or_already_applied
FAJGLMBPGDC	AddPreFight	applied_or_already_applied
FAJGLPJKCOD	SerializeString	applied_or_already_applied
FAOMIOHJOGF	CheckChangeFightRules	applied_or_already_applied
FBBPDABJNAH	SaveDataRoutine	applied_or_already_applied
FBDAHEODOGP	PerkActionSetTactics	applied_or_already_applied
FBEOJNICGNM	set_Sound	applied_or_already_applied
FBFBLKAFOEK	bundlesDependencies	applied_or_already_applied
FBFGLFLPHIF	set_Image	applied_or_already_applied
FBGKDOIMEBD	AddArc	applied_or_already_applied
FBGPMKDJLNE	CompareSingle	applied_or_already_applied
FBHDCIFHJEP	SetActive	applied_or_already_applied
FBJPFJNMGIA	onDone	applied_or_already_applied
FBLKPCHKAHM	PerkActionSetModEffect	applied_or_already_applied
FBONLJIGKKA	QuestActionUpdateScreen	applied_or_already_applied
FBPIIMGNPDG	defaultStripValue	applied_or_already_applied
FCAMPLENMMC	QuestActionShowCredits	applied_or_already_applied
FCCMGPNOBDP	CheckFightType	applied_or_already_applied
FCCPPGDAIEF	ParseInt	applied_or_already_applied
FCGANKGPKGD	NumberCompare	applied_or_already_applied
FCIDOCJILHA	ReadWeaponTypeList	applied_or_already_applied
FCKADIEMEDK	GetStageByName	applied_or_already_applied
FCMPBLPHAIJ	RemoveInFightRule	applied_or_already_applied
FCNMCALBNOP	HasHeaderWithValue	applied_or_already_applied
FCOPFDBEPFD	get_SafeDodgesAnimations	applied_or_already_applied
FCPEMEFLGBB	QuestActionUpgradesCleanup	applied_or_already_applied
FDAGMEAMDAC	DEPRECATED_RAW_SEPARATOR	applied_or_already_applied
FDBIEKELGKJ	TimeStep	applied_or_already_applied
FDEMAMCGLNK	window	applied_or_already_applied
FDFLONOAMFL	valueRef	applied_or_already_applied
FDGLEAHMPGH	GetCounterAttackChance	applied_or_already_applied
FDIHECDFLKI	isBuffer	applied_or_already_applied
FDJAMKKILNL	CheckRulesRender	applied_or_already_applied
FDJJGMBGBLB	RemoteLicenseChecker	applied_or_already_applied
FDKDKKKBIMK	_LastAnimationIsKick	applied_or_already_applied
FDKGMEPIHMA	DEFAULT_VERIFICATION_URL	applied_or_already_applied
FDLPKBGMCBG	GetAssetBundle	applied_or_already_applied
FDONOBJNFJH	_Collisible	applied_or_already_applied
FEBBAPFDODI	EmitEvent	applied_or_already_applied
FEBBENKNAJP	UpdateCRC	applied_or_already_applied
FECHHEDNBNM	set_IsClosed	applied_or_already_applied
FEEEKHNNGDI	needShowExpAndMoney	applied_or_already_applied
FEFPJKFAKCE	RenderStrikeDelay	applied_or_already_applied
FEGELFLECCD	GetFromTablesDodge	applied_or_already_applied
FEHANHPMLIN	GetNextQualityCondition	applied_or_already_applied
FELEKEGNLCB	_baseScrollContent	applied_or_already_applied
FELIKPANLMO	GetValues	applied_or_already_applied
FEMGGEAGICG	ChangingSprite	applied_or_already_applied
FEODOPMJACH	set_Uri	applied_or_already_applied
FEOLMADONJP	PathToResourcesFolder	applied_or_already_applied
FFAAEJNHKAB	_modules	applied_or_already_applied
FFCIPCONGJH	SetVariable	applied_or_already_applied
FFDGFENKBKH	isImplicit	applied_or_already_applied
FFDHLPAFJDH	GetDistanceError	applied_or_already_applied
FFEOCFIFAAL	WriteLengthDistance	applied_or_already_applied
FFFCCEEDMKI	status	applied_or_already_applied
FFGIKHDDGKO	ParseUint	applied_or_already_applied
FFGOKALFNKN	CreateCapabilityTables	applied_or_already_applied
FFJOONEMBKL	SetVector2	applied_or_already_applied
FFLEIFKHPCJ	MakeIdentifier	applied_or_already_applied
FFMMJHKMNDB	GetDenominatedValue	applied_or_already_applied
FFNEEIFNGPH	LogException	applied_or_already_applied
FFNOGNDJHIJ	_InternalComputeCrc32	applied_or_already_applied
FGAGICNOFOE	CompareItemType	applied_or_already_applied
FGBFKPOPHGL	set_HasValue	applied_or_already_applied
FGCODGKLHED	Model	applied_or_already_applied
FGDEPKKCBAF	fsm_return_table	applied_or_already_applied
FGIJOMGCOCP	StartScreen	applied_or_already_applied
FGKJNDKDOCO	CUSTOM_ARGS_PREFIX	applied_or_already_applied
FHEDLFIKBKP	Assert	applied_or_already_applied
FHEEKNPNJGK	ControlRelease	applied_or_already_applied
FHEOIDHGCBH	ModelType	applied_or_already_applied
FHFNMDHPJBN	FrameShift	applied_or_already_applied
FHGOGJDAPJI	SetSegment3D	applied_or_already_applied
FHJCJNFDAPB	Clear	applied_or_already_applied
FHOJCIKOCNK	GetLoadTexture2D	applied_or_already_applied
FHPJJGPJLHD	ProfilePerkContainer	applied_or_already_applied
FIDINHCAKHL	PreloadEffects	applied_or_already_applied
FIHMEHKAOCP	GroupModel	applied_or_already_applied
FIIMJHJLBBP	OutdateLevels	applied_or_already_applied
FILIJOFBNMA	Namespace	applied_or_already_applied
FIONEOGJIPM	p_delegate	applied_or_already_applied
FJAHKFNFNCK	Shift	applied_or_already_applied
FJDJAEKBPMP	set_LeaveOpen	applied_or_already_applied
FJGLHEHGBLG	SetExternalData	applied_or_already_applied
FJHHJOOHEKO	UpdateConditions	applied_or_already_applied
FJHNKDAKAEF	CheckTimers	applied_or_already_applied
FJIKHLBDCNI	ModInvisibility	applied_or_already_applied
FJKOFEMNJDH	GetCountNewItemsByType	applied_or_already_applied
FJMGBGKHIEO	Complete	applied_or_already_applied
FJNJEOPNFAL	Set	applied_or_already_applied
FKAIONLHKCO	streamedFragments	applied_or_already_applied
FKGEGIEPNCD	Pathes	applied_or_already_applied
FKGIOHJMCJO	SetUInt	applied_or_already_applied
FKNAHEIIMIB	Backward	applied_or_already_applied
FLCPCFJDPCH	Boundary	applied_or_already_applied
FLCPOALADEE	SendHeaders	applied_or_already_applied
FLEHPNLKDEM	GetOptimum	applied_or_already_applied
FLLKBEBLENE	QuestActionSetStoryTutorialStep	applied_or_already_applied
FLPHJDIADJD	_externalData	applied_or_already_applied
FLPJNKEENJL	_CheatsPanel	applied_or_already_applied
FMDJLKGEHBD	CreateCheckBox	applied_or_already_applied
FMEPJIMJLFG	set_PingFrequnecy	applied_or_already_applied
FMJOPEIAINP	GetNodesByIndex	applied_or_already_applied
FMKBJMKBIKG	OnDone	applied_or_already_applied
FMLMHNBHMBN	set_IsDecoded	applied_or_already_applied
FMMHHPBLGIE	_nodeName	applied_or_already_applied
FMMNOIBHCEK	SetColor	applied_or_already_applied
FNADODKCACM	SupportedAlgorithms	applied_or_already_applied
FNCLKMBHMNM	set_CurrentFight	applied_or_already_applied
FNFDBIAFIMB	ScanTagUri	applied_or_already_applied
FNGEJFDOLOP	init	applied_or_already_applied
FNHMJCFKGDO	DecryptBoolValue	applied_or_already_applied
FNIEOIDOJCO	IsPlayableAnimations	applied_or_already_applied
FNJHHHIOKBC	ParseMarks	applied_or_already_applied
FNKKGOELNDA	_TacticEquivalent	applied_or_already_applied
FNLFMAAJCAC	PerkConditionMagicCharge	applied_or_already_applied
FNLGBADCELN	_ModelWeight	applied_or_already_applied
FNMNFCOOMOI	Multiplier	applied_or_already_applied
FNNHEKHOEFN	get_Name	applied_or_already_applied
FNPNJGICFPK	ReadHash	applied_or_already_applied
FOAADGFCNOI	CachedConfigs	applied_or_already_applied
FOAKHFBOLEK	_Rotated	applied_or_already_applied
FODFGNELBPG	SetAdditional	applied_or_already_applied
FOEBIHELFMF	LicenseRequestResult	applied_or_already_applied
FOKPBHDIMLB	set_FrictionForce	applied_or_already_applied
FOLIEAONIHE	IsNot	applied_or_already_applied
FONMJIDJAKL	PingInterval	applied_or_already_applied
FOOAAHHDOGP	StringToByteArray	applied_or_already_applied
FOOMGGGGJAP	IntervalNew	applied_or_already_applied
FPEBKBNKNMB	_Color	applied_or_already_applied
FPECACJBHKN	MoveTo	applied_or_already_applied
FPGKKNMBCCH	CheckAnimation	applied_or_already_applied
FPGPMLNPJMA	CachedData	applied_or_already_applied
FPHMFLOHMIL	OnAnimationEnd	applied_or_already_applied
FPLBJFEHEHL	SetBool	applied_or_already_applied
FPMKJKNOOLC	RefreshTacticSetParameters	applied_or_already_applied
GAADIANOIJF	get_RoundTimeTotalFrames	applied_or_already_applied
GAAOCKDPLIB	IsCompareNames	applied_or_already_applied
GAAOFGHLFBG	UpdateFileHash	applied_or_already_applied
GACBFMAAKLJ	AddModel	applied_or_already_applied
GACNMDAJILP	GetBits	applied_or_already_applied
GAFFLDNDHFC	_IsValid	applied_or_already_applied
GAFPKAKFAMC	set_IsMusic	applied_or_already_applied
GAHCPBDPMJC	_currentPosition	applied_or_already_applied
GAHLICNHPJH	EncryptBytesToFile	applied_or_already_applied
GAIKDEEPDNC	GetNextGraphicsQuality	applied_or_already_applied
GAPNGNCIGHH	GetArrayIndexByFrameIndex	applied_or_already_applied
GBHDNJFHNNE	FightEvent	applied_or_already_applied
GBHPJKDMKGG	max_code	applied_or_already_applied
GBJGDJILKDC	IsFPSCounter	applied_or_already_applied
GBKAEJOFPIE	set_Step	applied_or_already_applied
GBLFNGAILHB	Overload	applied_or_already_applied
GBNGDJIMEPA	InverseLocationScale	applied_or_already_applied
GBPDHLKMLLA	RenderCollisions	applied_or_already_applied
GBPNGFIAMKB	ChangeLampIndicatorOpacity	applied_or_already_applied
GCAABNKEIBN	Index	applied_or_already_applied
GCAJFHBPOIC	RequestUsersInfo	applied_or_already_applied
GCAPLEJMMPM	Level	applied_or_already_applied
GCCJGHNNJBM	AntichitingModule	applied_or_already_applied
GCDCDPFPPCL	set_Rotated	applied_or_already_applied
GCDLEGKHBFE	set_Target	applied_or_already_applied
GCDPHDDEFFA	PointsTableType	applied_or_already_applied
GCFBFHMGNCC	InvokeActionRoutine	applied_or_already_applied
GCFDDJLHIJL	_Buttons	applied_or_already_applied
GCGEDBHPDOB	currentIndex	applied_or_already_applied
GCHIOJCOHGL	fightAvgFps	applied_or_already_applied
GCHLFBNEEBO	SetSpan	applied_or_already_applied
GCJCFLLMCCN	_docPacks	applied_or_already_applied
GCJHFJHCFFM	BLOCK_SIZE_BYTES	applied_or_already_applied
GCLNEBOHOGC	DecryptRectValue	applied_or_already_applied
GCNEJDJGAPG	SetQuaternion	applied_or_already_applied
GCOFGEHABIJ	_Path	applied_or_already_applied
GCOIEODAJPK	_progressCallback	applied_or_already_applied
GCONBIHPKJG	_storyTutorialStep	applied_or_already_applied
GCPKAMKHJKH	SaveTo	applied_or_already_applied
GDAJEAEFOEB	set_Description	applied_or_already_applied
GDBOJNBCIFC	_TimeStart	applied_or_already_applied
GDDDGKONMEH	nodesWithUnresolvedAliases	applied_or_already_applied
GDFGMHIKKIL	NextToken	applied_or_already_applied
GDFNFMGLBHP	SetFightIDSByZBF	applied_or_already_applied
GDGAMDDMPJL	GetFrictionForce	applied_or_already_applied
GDHBJFBGNAP	queryBuilder	applied_or_already_applied
GDJBEGFMACD	isFirstStrike	applied_or_already_applied
GDJNIKAENEF	get_CautiousMovements	applied_or_already_applied
GDKHPMIFOCJ	CUDLRCommands	applied_or_already_applied
GDLCPDPEFNB	PreloadSounds	applied_or_already_applied
GDLLPMHMDPC	_Base	applied_or_already_applied
GDLOIBKEELC	RESET_BTN_COOLDOWN_FRAMES	applied_or_already_applied
GDPJHGNJNFO	ChangeButtonTouchZone	applied_or_already_applied
GDPKCKAOFDC	RemoveInterval	applied_or_already_applied
GEAHDEMLBDC	SetWeaponEnemy	applied_or_already_applied
GEDAGABAFIC	GetLong	applied_or_already_applied
GEEFNOJELMN	set_Exception	applied_or_already_applied
GEENLKIDIGM	TimeSyncRoutine	applied_or_already_applied
GEJEFLFABJI	renderTexture	applied_or_already_applied
GEKPINJEPAB	ReadByte	applied_or_already_applied
GEOHFBLGFJK	ShiftSequence	applied_or_already_applied
GEPMMBBHEPD	set_TryWebSockets	applied_or_already_applied
GFFBHIAAPCD	ToJson	applied_or_already_applied
GFIJGHGKGPE	QuestActionSetFBIndicator	applied_or_already_applied
GFJBBIIGLKB	_endRoundType	applied_or_already_applied
GFKCGNPHNAO	RemoveModel	applied_or_already_applied
GFMFDEKLLBA	CameraUpdate	applied_or_already_applied
GFOJGGFNOHA	StopSound	applied_or_already_applied
GFONKNMEPOK	_labelButtons	applied_or_already_applied
GGDKEAMFLGD	CreateRepostAchievement	applied_or_already_applied
GGFFOALPHFI	EncryptVector2Value	applied_or_already_applied
GGFKBGKDALP	PerkActionLifesteal	applied_or_already_applied
GGFOCHJCHKG	_Seed	applied_or_already_applied
GGNEGPAPICJ	instance	applied_or_already_applied
GGPAHMKFNCA	QuestActionRecount	applied_or_already_applied
GHAGODNJPOL	get_Model	applied_or_already_applied
GHHPAECGJAJ	set_IsDictionary	applied_or_already_applied
GHLCANOMKAG	set_Routine	applied_or_already_applied
GHNJIABLKIP	set_Attachments	applied_or_already_applied
GHPPOGOCPOP	SetLife	applied_or_already_applied
GIBFCCMNFPA	QuestActionActivateTimer	applied_or_already_applied
GIDEFHJKGHI	DataReady	applied_or_already_applied
GIFAMGMIMOO	_battles	applied_or_already_applied
GIIGEHIAJKN	DialogsManager	applied_or_already_applied
GIJBCLBPMNF	_levelThresholds	applied_or_already_applied
GIKLDPBAPLO	GetSafetyAnimations	applied_or_already_applied
GIKMPHHIHCA	fightTimeInFrame	applied_or_already_applied
GINMCNPCIPN	QuestActionGotoZone	applied_or_already_applied
GIPPALBGIIC	set_cells	applied_or_already_applied
GJBDNAJNKHM	Copy	applied_or_already_applied
GJDCPEFIFIM	OnClickCheat	applied_or_already_applied
GJEPKICKHHK	QuestActionGiveFreeRecipe	applied_or_already_applied
GJFDEPAHABJ	SaveFullLog	applied_or_already_applied
GJHDMLCDGDB	StartPunchbag	applied_or_already_applied
GJIGJIMGFIK	ScrollViewValueChanged	applied_or_already_applied
GJIMCGIAGJH	RenderRound	applied_or_already_applied
GJMDJMOJMEH	InitRule	applied_or_already_applied
GJNGEHGLLDD	ProbPrices	applied_or_already_applied
GJOCMAHEMFI	HasKey	applied_or_already_applied
GJOIGGLOONA	_pos	applied_or_already_applied
GKBCGPPOJPB	_UnityObject	applied_or_already_applied
GKBCHBDGBNF	ReadMatchDistances	applied_or_already_applied
GKCKAHAMGDO	DialogType	applied_or_already_applied
GKDBFLFHGAP	set_Sprite	applied_or_already_applied
GKGJKFJBNKO	Client	applied_or_already_applied
GKOMKBHAJIJ	QuestActionRemovePack	applied_or_already_applied
GKPEHKFGEBK	ParseSimpleEffect	applied_or_already_applied
GLAKJAIJICF	FromLanguageCode	applied_or_already_applied
GLCENHHNNAE	set_Seed	applied_or_already_applied
GLCKLODLIBE	StartStance	applied_or_already_applied
